time,subj_course_id,sec_code,sec_id,prof,available,waitlist,total,enrolled_ct
1696417846698,AAS 10,A01,205440,Butler; Elizabeth Annette,1,4,34,33
1696417846698,AAS 10,A02,205441,Butler; Elizabeth Annette,0,2,34,34
1696417847121,AAS 170,A00,205442,Butler; Elizabeth Annette,2,1,32,30
1696417847554,AESE 278A,A00,210106,Wade; Jon P,7,0,40,33
1696417847978,AESE 279A,A00,210107,Zak; Alexander,7,0,40,33
1696417848413,AIP 97,001,363409,Goldfarb; Brian,50,0,50,0
1696417848413,AIP 97,002,363990,Reuther; Keefe,49,0,50,1
1696417848413,AIP 97,003,366078,Mukamel; Eran A,49,0,50,1
1696417848413,AIP 97,004,366251,Root; Cory Matthew,50,0,50,0
1696417848882,AIP 197,001,209376,Viirre; Erik,5,0,5,0
1696417848882,AIP 197,002,352239,Danks; David J,9998,0,9999,1
1696417848882,AIP 197,003,352450,Crandall; Jordan,9998,0,9999,1
1696417848882,AIP 197,004,358558,Reuther; Keefe,9999,0,9999,0
1696417848882,AIP 197,005,358559,Karmarkar; Uma R,9998,0,9999,1
1696417848882,AIP 197,006,358562,Zilberg; Elana,9998,0,9999,1
1696417848882,AIP 197,007,359231,Theodorakis; Emmanuel,9997,0,9999,2
1696417848882,AIP 197,008,361475,Voytek; Bradley Thomas,9998,0,9999,1
1696417848882,AIP 197,009,362774,Floyd; Eric,9998,0,9999,1
1696417848882,AIP 197,010,362775,Reuther; Keefe,9999,0,9999,0
1696417848882,AIP 197,011,362800,Farley; Emma Kristen,9998,0,9999,1
1696417848882,AIP 197,012,362801,Li; Tzumao,9997,0,9999,2
1696417848882,AIP 197,013,362858,Vespa; Emanuel Ignacio,9996,0,9999,3
1696417848882,AIP 197,014,362949,McAuley; Julian John,9998,0,9999,1
1696417848882,AIP 197,015,363180,Lewis; Kevin Michael,9998,0,9999,1
1696417848882,AIP 197,016,363198,Root; Cory Matthew,9991,0,9999,8
1696417848882,AIP 197,017,363295,Griswold; William G.,9998,0,9999,1
1696417848882,AIP 197,018,363296,Lubarda; Marko,9998,0,9999,1
1696417848882,AIP 197,019,363447,Kuester; Falko,10,0,10,0
1696417848882,AIP 197,020,363448,Vahabzadeh-Hagh; Andrew Me,10,0,10,0
1696417848882,AIP 197,021,363496,Nitz; Douglas A.,9,0,10,1
1696417848882,AIP 197,022,363895,Lau; Samuel Ethan,9998,0,9999,1
1696417848882,AIP 197,023,365784,Deutsch; Alin Bernard,9999,0,9999,0
1696417848882,AIP 197,024,366235,Schmidt; Thomas Rainer,9999,0,9999,0
1696417848882,AIP 197,025,366239,Yang; K. Wayne,9999,0,9999,0
1696417849306,AIP 197DC,001,209377,Hill; Seth J,14,0,31,17
1696417849729,AIP 197P,001,209379,Goldfarb; Brian,120,0,120,0
1696417850152,AIP 197T,A00,209380,Anderson; Patrick W.,9998,0,9999,1
1696417850578,ANAR 100,A00,300382,Fortier; Jana,1,0,20,19
1696417851003,ANAR 104,B01,300928,Staff,2,0,25,23
1696417851864,ANAR 116,A00,209728,Shtienberg; Gilad,21,0,30,9
1696417852286,ANAR 120,A00,209729,Garvin; Arianna Christina,3,0,32,29
1696417852710,ANAR 166,A00,209744,Staff,51,0,75,24
1696417853133,ANBI 118,A00,209745,Fox; Patrick Keolu Ozer,4,0,32,28
1696417853558,ANBI 131,A00,209746,Non; Amy L,2,3,100,98
1696417853984,ANBI 136,A00,209747,Semendeferi; Ekaterini,0,0,0,22
1696417854407,ANBI 141,A00,209748,Gagneux; Pascal,2,4,220,218
1696417854833,ANBI 145,A00,209749,Hrvoj Mihic; Branka,2,0,32,30
1696417855261,ANBI 175,A00,209754,Hrvoj Mihic; Branka,18,0,32,14
1696417856119,ANES 229,A00,290733,Weinstein; Lawrence,3,0,3,0
1696417856548,ANES 296,001,290703,Gabriel; Rodney A,8,0,10,2
1696417856548,ANES 296,002,290704,Staff,10,0,10,0
1696417856972,ANSC 100,A00,209755,Yeh; Rihan Wen Xin,13,0,30,17
1696417857401,ANSC 121,A00,209756,Sloane; Julia Kathryn,0,3,56,56
1696417857828,ANSC 124,A00,209757,Bialecki; Jon Anthony,1,0,30,29
1696417858680,ANSC 148,A00,209759,Wilson; Brenda K,11,0,70,59
1696417859104,ANSC 164,A00,209795,Varma; Saiba,0,4,40,40
1696417859531,ANSC 169,A00,209802,Fortier; Jana,0,1,25,25
1696417859959,ANSC 190,A00,209804,Jassal; Aftab,2,0,60,58
1696417860383,ANSC 193,A00,209805,Pedersen; David,13,0,75,62
1696417860811,ANTH 1,A00,209655,Jassal; Aftab,1,3,146,145
1696417861241,ANTH 2,A01,209657,Wilder; Linnea Lorene,1,1,44,43
1696417861241,ANTH 2,A02,209658,Wilder; Linnea Lorene,1,2,44,43
1696417861241,ANTH 2,A03,209659,Wilder; Linnea Lorene,0,3,44,44
1696417861241,ANTH 2,A04,209660,Wilder; Linnea Lorene,0,1,44,44
1696417861241,ANTH 2,A05,209661,Wilder; Linnea Lorene,0,2,44,44
1696417861241,ANTH 2,A06,355180,Wilder; Linnea Lorene,0,1,44,44
1696417861669,ANTH 4,A01,209663,Yeh; Rihan Wen Xin,0,0,42,42
1696417861669,ANTH 4,A02,209664,Yeh; Rihan Wen Xin,0,0,42,42
1696417861669,ANTH 4,A03,209665,Yeh; Rihan Wen Xin,1,1,42,41
1696417862097,ANTH 10,A00,209666,Stewart; Alexander B,2,2,250,248
1696417862523,ANTH 21,A01,209671,Stone; Annika Britt,0,4,35,35
1696417862523,ANTH 21,A02,209672,Stone; Annika Britt,0,4,35,35
1696417862523,ANTH 21,A03,209673,Stone; Annika Britt,1,3,35,34
1696417862523,ANTH 21,A04,209674,Stone; Annika Britt,0,6,35,35
1696417862523,ANTH 21,A05,209675,Stone; Annika Britt,1,4,35,34
1696417862523,ANTH 21,A06,209676,Stone; Annika Britt,0,4,35,35
1696417862523,ANTH 21,A07,209687,Stone; Annika Britt,0,4,35,35
1696417862523,ANTH 21,A08,209688,Stone; Annika Britt,0,4,35,35
1696417862523,ANTH 21,A09,209692,Stone; Annika Britt,0,5,35,35
1696417862523,ANTH 21,A10,209693,Stone; Annika Britt,0,4,35,35
1696417862949,ANTH 23,A01,209695,Stewart; Alexander B,0,1,36,36
1696417862949,ANTH 23,A02,209696,Stewart; Alexander B,1,1,36,35
1696417862949,ANTH 23,A04,209698,Stewart; Alexander B,0,0,36,36
1696417862949,ANTH 23,A05,209719,Stewart; Alexander B,1,1,36,35
1696417862949,ANTH 23,A06,209724,Stewart; Alexander B,1,0,36,35
1696417862949,ANTH 23,A07,209725,Stewart; Alexander B,0,2,38,38
1696417863382,ANTH 87,A00,300338,Jordan; David K.,3,0,20,17
1696417863382,ANTH 87,B00,300339,Jordan; David K.,0,2,20,20
1696417863818,ANTH 101,B01,352887,Goldstein; Paul S,8,0,35,27
1696417863818,ANTH 101,B02,352888,Goldstein; Paul S,1,0,35,34
1696417863818,ANTH 101,B03,352889,Goldstein; Paul S,0,0,4,4
1696417863818,ANTH 101,B04,352916,Goldstein; Paul S,25,0,35,10
1696417864244,ANTH 105,B00,363174,Bialecki; Jon Anthony,0,4,50,51
1696417864669,ANTH 108,A00,209842,Sloane; Julia Kathryn,0,1,32,32
1696417865093,ANTH 109,A00,209843,Rivera-Collazo; Isabel C,29,0,70,41
1696417865516,ANTH 196A,A00,209844,Varma; Saiba,6,0,20,14
